PRODUCT,Bom Lines / Product,Bom Lines / Used For,Bom Lines / Quantity
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,6
,HARD WASHER,FOR 1 & 2,4
,HARD WASHER,FOR 5 & 7,1
,WASHER,FOR 16,1
,PARALLEL KEY,FOR 5,1
,INDICATOR PLATE,FOR 7,1
ML-S(4)/F16,SGB HOUSING,,1
,SGB COVER,,1
,SPUR GEAR,,1
,SPUR GEAR $(INDICATOR),,1
,PINION SHAFT,,1
,HARD WASHER$(TOP/BOTTOM),,2
,HANDWHEEL,,1
,BUSH,FOR 1 & 4,1
,BUSH,FOR 2 & 4,1
,THRUST RACES,,2
,STEEL BALL,,96
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,6
,HARD WASHER,FOR 1 & 2,4
,HARD WASHER,FOR 5 & 7,1
,WASHER,FOR 16,1
,PARALLEL KEY,FOR 5,1
,INDICATOR PLATE,FOR 7,1
ML-S(2)/F16,SGB HOUSING,,1
,SGB COVER,,1
,SPUR GEAR (STD),,1
,SPUR GEAR $(INDICATOR),,1
,PINION SHAFT (STD),,1
,PINION SHAFT(K950F10E),,1
,PINION SHAFT(IND.250/300SV),,1
,HARD WASHER$(TOP/BOTTOM),,2
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,1
,BUSH,FOR 2 & 5,1
,THRUST RACES,,2
,STEEL BALL,,48
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,2
,ALLEN BOLT,FOR 1 & 2,3
,HARD WASHER,FOR 5 & 9,1
,HARD WASHER,FOR 2 &PIPE HOOD,6
,HARD WASHER,FOR 4 &IND.ROD,4
,WASHER,FOR 17,1
,PARALLEL KEY,FOR 5 & 9,1
,INDICATOR PLATE,FOR 9,1
ML-S(5)/F25,SGB HOUSING,,1
,SGB COVER,,1
,SGB COVER (E/O),,1
,SPUR GEAR,,1
,SPUR GEAR (IND.),,1
,SPUR GEAR (O/R),,1
,PINION SHAFT,,1
,PINION SHAFT$(BEVEL),,1
,PINION SHAFT (ROTORK),,1
,PINION SHAFT (AUMA),,1
,HARD WASHER$(TOP/BOTTOM),,2
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,1
,BUSH,FOR 2 & 5,1
,THRUST RACES,,2
,STEEL BALL,,102
,CIRCLIP,,2
,CIRCLIP,,1
,CIRCLIP,FOR 8,2
,HARD WASHER,FOR 1 & 2,5
,HARD WASHER,FOR 1 & 2,3
,ALLEN BOLT,FOR 1 & 3,3
,HARD WASHER,FOR 7 & 12,1
,WASHER,FOR 23,1
,PARALLEL KEY,"FOR 7, 9 & 10",1
,PARALLEL KEY,FOR 8,1
,INDICATOR PLATE,FOR 12,1
ML-S(6)/F30,SGB HOUSING,,1
,SGB COVER,,1
,SPUR GEAR (STD/IND),,1
,SPUR GEAR (O/R),,1
,PINION SHAFT,,1
,PINION SHAFT$(BEVEL),,1
,HARD WASHER$(TOP/BOTTOM),,2
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,1
,BUSH,FOR 2 & 5,1
,THRUST RACES,,2
,STEEL BALL,,130
,CIRCLIP,,2
,CIRCLIP,FOR 5,1
,CIRCLIP,FOR 7,2
,HARD WASHER,FOR 1 & 2,5
,HARD WASHER,FOR 1 & 2,3
,HARD WASHER,FOR 5 & 9,1
,WASHER,FOR 19,1
,PARALLEL KEY,FOR 5,1
,PARALLEL KEY,FOR 6,1
,PARALLEL KEY,FOR 7,1
,INDICATOR PLATE,FOR 9,1
OR-S(05)/F25,SGB HOUSING,,1
,SGB COVER,,1
,SPUR GEAR,,1
,INTERMEDIATE GEAR,,1
,INTERMEDIATE SHAFT,,1
,PINION SHAFT,,1
,HARD WASHER,,2
,BUSH,FOR 1 & 5,1
,BUSH,FOR 1 & 6,1
,BUSH,FOR  2 & 5,1
,BUSH,FOR 2 & 6,1
,THRUST RACES,,2
,THRUST RACES,,2
,STEEL BALL,,104
,CIRCLIP,,2
,HARD WASHER,FOR 1 & 2,9
,ALLEN BOLT,FOR 1 & 2,3
,PARALLEL KEY,FOR 6,1
OR-S(05)/F30,SGB HOUSING,,1
,SGB COVER,,1
,SPUR GEAR,,1
,INTERMEDIATE GEAR,,1
,INTERMEDIATE SHAFT,,1
,PINION SHAFT,(MO),1
,PINION SHAFT,(EO),1
,HARD WASHER,,2
,BUSH,FOR 1 & 5,1
,BUSH,FOR 1 & 6,1
,BUSH,FOR  2 & 5,1
,BUSH,FOR 2 & 6,1
,THRUST RACES,,2
,THRUST RACES,,2
,STEEL BALL,,130
,CIRCLIP,,2
,HARD WASHER,FOR 1 & 2,9
,ALLEN BOLT,FOR 1 & 2,3
,PARALLEL KEY,FOR 6,1
OR-S 350 (06)/F30/F35,SGB HOUSING,,1
,SGB COVER,,1
,SPUR GEAR,,1
,INTERMEDIATE GEAR,,1
,PINION SHAFT,,1
,HARD WASHER,,2
,NEEDLE ROLLER CAGE,,2
,NEEDLE ROLLER CAGE,,2
,NEEDLE ROLLER CAGE,,2
,THRUST RACES,FOR 5,2
,THRUST RACES,FOR 4,2
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,8
,ALLEN BOLT,FOR 1 & 2,3
,EYE BOLT,FOR 1 & 2,2
,PARALLEL KEY,FOR 6,1
ML-W(13)/F16,WGB HOUSING,,1
,WGB COVER,,1
,WORMWHEEL,,1
,WORM,,1
,WORM SHAFT,(MO/EO),1
,HANDWHEEL,,1
,BUSH,FOR 1 & 5 (TOP),1
,BUSH,FOR 1 & 5 (BOTTOM),1
,TORQUE FUSE,,2
,BEARING,,2
,CIRCLIP,,1
,ALLEN BOLT,FOR 1 & 2,2
,ALLEN BOLT,FOR 1 & 2,2
,HARD WASHER,FOR 5 & 6,1
,WASHER,FOR 14,1
,PARALLEL KEY,FOR 5 & 6,1
ML-W(13)/F25,WGB HOUSING,,1
,WGB COVER,,1
,WORMWHEEL,,1
,WORM,,1
,WORM SHAFT,(MO/EO),1
,HANDWHEEL,,1
,BUSH,FOR 1 & 5 (TOP),1
,BUSH,FOR 1 & 5 (BOTTOM),1
,TORQUE FUSE,,2
,BEARING,,2
,CIRCLIP,,1
,ALLEN BOLT,FOR 1 & 2,2
,ALLEN BOLT,FOR 1 & 2,2
,HARD WASHER,FOR 5 & 6,1
,WASHER,FOR 14,1
,PARALLEL KEY,FOR 5 & 6,1
ML-W(60)/F35,WGB HOUSING (Casting),,1
,WGB HOUSING (Machining),,1
,WGB COVER (Casting),,1
,WGB COVER (Machining),,1
,WORMWHEEL (Casting),,1
,WORMWHEEL (Machining),,1
,WORM,,1
,WORM SHAFT,,1
,SPACER,FOR 8 & 12,2
,HANDWHEEL,,1
,TORQUE FUSE,,2
,BEARING,,2
,BEARING,,2
,DOWEL PIN,FOR 2 & 4,2
,HARD WASHER,FOR 2 & 4,13
,HARD WASHER,"FOR 8 ,10 & 17",1
,WASHER,FOR 16,1
,PARALLEL KEY,FOR 5 & 8,1
ML-W 30/F30,WGB HOUSING (Casting),,1
,WGB HOUSING (Machining),,1
,WGB COVER (Casting),,1
,WGB COVER (Machining),,1
,WORMWHEEL (Casting),,1
,WORMWHEEL (Machining),,1
,WORM,,1
,WORM SHAFT,,1
,SPACER,FOR 8 & 12,2
,HANDWHEEL,,1
,TORQUE FUSE,,2
,BEARING,,2
,BEARING,,2
,DOWEL PIN,FOR 2 & 4,2
,HARD WASHER,FOR 2 & 4,13
,HARD WASHER,"FOR 8, 10 & 17",1
,WASHER,FOR 16,1
,PARALLEL KEY,FOR 5 & 8,1
ML-W 165(15)/F30,WGB HOUSING (Casting),,1
,WGB HOUSING (Machining),,1
,WGB COVER (Casting),,1
,WGB COVER (Machining),,1
,WORMWHEEL (Casting),,1
,WORMWHEEL (Machining),,1
,WORM,,1
,WORM SHAFT,,1
,SPACER,FOR 8 & 12,2
,HANDWHEEL,,1
,TORQUE FUSE,,2
,BEARING,,2
,BEARING,,2
,DOWEL PIN,FOR 2 & 4,2
,HARD WASHER,FOR 2 & 4,13
,HARD WASHER,"FOR 8, 10 & 17",1
,WASHER,FOR 16,1
,PARALLEL KEY,FOR 5 & 8,1
SLM-09(60)/F12,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,TORQUE FUSE,,2
,BEARING,,2
,CIRCLIP,,2
,HARD WASHER,FOR 1 & 2,4
,STOPPER STUD WITH NUT,,2
,BUSH,FOR 1 & 5,2
,HANDWHEEL,,1
,PARALLEL KEY,FOR 5 & 12,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 12,1
SLM-12(40)/F10 EO,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,SPACER,,2
,BUSH,FOR 1 & 5 TOP,1
,BUSH,FOR 1 & 5 TOP,1
,TORQUE FUSE,,2
,CIRCLIP,,2
,HARD WASHER,FOR 1 & 2,6
,PARALLEL KEY,FOR 5 & 12,1
,INDICATOR PLATE,FOR 3,1
SLM-14(50)/F12,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,TORQUE FUSE,,2
,BEARING,,2
,CIRCLIP,,2
,HARD WASHER,FOR 1 & 2,6
,STOPPER STUD WITH NUT,,2
,BUSH,FOR 1 & 5,2
,HANDWHEEL,,1
,PARALLEL KEY,FOR 5 & 12,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 12,1
SLM-27(50)/F14,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,SPACER,,2
,TOP COVER,,1
,TORQUE FUSE,,2
,BEARING,,2
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,8
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 1 & 7,3
,BUSH,FOR 1 & 5,2
,HANDWHEEL,,1
,PARALLEL KEY,FOR  5 & 16,1
,HARD WASHER,FOR 5 & 16,1
,WASHER,FOR 18,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 16,1
SLM-27(50)/F12,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,SPACER,,2
,TOP COVER,,1
,TORQUE FUSE,,2
,BEARING,,2
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,8
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 1 & 7,3
,BUSH,FOR 1 & 5,2
,HANDWHEEL,,1
,PARALLEL KEY,FOR  5 & 16,1
,HARD WASHER,FOR 5 & 16,1
,WASHER,FOR 18,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 16,1
SLM-37(80)/F14,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,COLLAR,,2
,SGB HOUSING MM-02,,1
,SGB COVER MM-02,,1
,SPUR GEAR MM-02,,1
,PINION SHAFT MM-02,,1
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,2
,BUSH,FOR 5 & 7,1
,BUSH,FOR 7 & 10,1
,BUSH,FOR 8 & 10,1
,TORQUE FUSE,,2
,BEARING,,2
,CIRCLIP,,2
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,8
,HARD WASHER,FOR 7 & 8,4
,ALLEN BOLT,FOR 1 & 7,3
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 10 & 11,1
,WASHER,FOR 25,1
,PARALLEL KEY,FOR 5 & 9,1
,PARALLEL KEY,FOR 10 & 11,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 11,1
SLM-37A(80)/F14,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,COLLAR,,2
,SGB HOUSING MX-02,,1
,SGB COVER MX-02,,1
,SPUR GEAR MX-02,,1
,PINION SHAFT MX-02,(MO),1
,PINION SHAFT MX-02,(EO),1
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,2
,BUSH,FOR 5 & 7,1
,BUSH,FOR 7 & 10,1
,BUSH,FOR 8 & 10,1
,TORQUE FUSE,,2
,BEARING,,2
,CIRCLIP,,2
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,8
,HARD WASHER,FOR 7 & 8,4
,ALLEN BOLT,FOR 1 & 7,3
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 10 & 11,1
,WASHER,FOR 25,1
,PARALLEL KEY,FOR 5 & 9,1
,PARALLEL KEY,FOR 10 & 11,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 11,1
SLM-37(50)/F16,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,SPACER,,2
,TOP COVER,,1
,TORQUE FUSE,,2
,BEARING,,2
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,8
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 1 & 7,3
,BUSH,FOR 1 & 5,2
,HANDWHEEL,,1
,PARALLEL KEY,FOR  5 & 16,1
,HARD WASHER,FOR 5 & 16,1
,WASHER,FOR 18,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 16,1
SLM-53(150)/F16,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,SPACER,,2
,SGB HOUSING SM-03,,1
,SGB COVER SM-03,,1
,SPUR GEAR SM-03,,1
,PINION SHAFT SM-03,,1
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,2
,BUSH,FOR 5 & 7,1
,BUSH,FOR 7 & 10,1
,BUSH,FOR 8 & 10,1
,TORQUE FUSE,,2
,BEARING,,2
,THRUST RACES,,2
,CIRCLIP,,2
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,8
,HARD WASHER,FOR 7 & 8,6
,HARD WASHER,FOR 1 & 7,4
,HARD WASHER,FOR 7 & 8,4
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 10 & 11,1
,WASHER,FOR 27,1
,PARALLEL KEY,FOR 5 & 9,1
,PARALLEL KEY,FOR 10 & 11,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 11,1
SLM-66(200)/F16,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,COLLAR,,2
,SPACER,,2
,SGB HOUSING SM-05,,1
,SGB COVER SM-05,,1
,SPUR GEAR SM-05,,1
,PINION SHAFT SM-05,,1
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,2
,BUSH,FOR 5 & 8,1
,BUSH,FOR 8 & 11,1
,BUSH,FOR 9 & 11,1
,TORQUE FUSE,,2
,BEARING,,2
,THRUST RACES,,2
,CIRCLIP,,2
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,8
,HARD WASHER,FOR 8 & 9,6
,HARD WASHER,FOR 1 & 8,4
,HARD WASHER,FOR 8 & 9,4
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 11 & 12,1
,WASHER,FOR 28,1
,PARALLEL KEY,FOR 5 & 10,1
,PARALLEL KEY,FOR 11 & 12,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 12,1
SLM-66(200)/F25,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,COLLAR,,2
,SPACER,,2
,SGB HOUSING SM-05,,1
,SGB COVER SM-05,,1
,SPUR GEAR SM-05,,1
,PINION SHAFT SM-05,,1
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,2
,BUSH,FOR 5 & 8,1
,BUSH,FOR 8 & 11,1
,BUSH,FOR 9 & 11,1
,TORQUE FUSE,,2
,BEARING,,2
,THRUST RACES,,2
,CIRCLIP,,2
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,8
,HARD WASHER,FOR 8 & 9,6
,HARD WASHER,FOR 1 & 8,4
,HARD WASHER,FOR 8 & 9,4
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 11 & 12,1
,WASHER,FOR 28,1
,PARALLEL KEY,FOR 5 & 10,1
,PARALLEL KEY,FOR 11 & 12,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 12,1
SLT-115(250)/F25,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORMSHAFT,,1
,COLLAR,,2
,SGB HOUSING SM-05,,1
,SGB COVER SM-05,,1
,SPUR GEAR SM-05,,1
,PINION SHAFT SM-05,(MO),1
,PINION SHAFT SM-05,(EO),1
,HANDWHEEL,,1
,BUSH,FOR 1 & 5,2
,BUSH,FOR 5 & 7,1
,BUSH,FOR 7 & 10,1
,BUSH,FOR 8 & 10,1
,TORQUE FUSE,,2
,BEARING,,2
,THRUST RACES,,2
,CIRCLIP,,2
,CIRCLIP,,1
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,10
,HARD WASHER,FOR 7 & 8,6
,HARD WASHER,FOR 1 & 7,4
,HARD WASHER,FOR 7 & 8,4
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 10 & 11,1
,WASHER,FOR 27,1
,PARALLEL KEY,FOR 5 & 9,1
,PARALLEL KEY,FOR 10 & 11,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 11,1
SLT-125(360)/F25,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,(MO/EO),1
,SPACER,,2
,SGB HOUSING DC-09,,1
,SGB COVER  DC-09,,1
,SPUR GEAR-I-DC-09,,1
,SPUR GEAR-II-DC-09,,1
,PINION SHAFT-I-DC-09,(MO/EO),1
,PINION SHAFT-I-DC-09,,1
,PINION SHAFT-II-DC-09,(EO),1
,PINION SHAFT-II-DC-09,(MO),1
,HANDWHEEL,,1
,BUSH,FOR 5 & 7,1
,BUSH,FOR 7 & 12,1
,BUSH,FOR 8  & 13,1
,BUSH,FOR 8 & 11,1
,TORQUE FUSE,,2
,BEARING,,2
,BEARING,,1
,NEEDLE ROLLER CAGE,,2
,NEEDLE ROLLER CAGE,,1
,THRUST RACES,,1
,THRUST RACES,,1
,CIRCLIP,,2
,CIRCLIP,,1
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,12
,HARD WASHER,FOR 7 & 8,8
,SOC.HD.GRUB SCREW,,2
,EYE BOLT,,2
,ALLEN BOLT,FOR 1 & 7,4
,DOWEL PIN,FOR 7 & 8,2
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 11 & 14,1
,WASHER,FOR 36,1
,PARALLEL KEY,FOR 5 & 10,1
,PARALLEL KEY,FOR 9 & 13,1
,PARALLEL KEY,FOR 11 & 14,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 14,1
SLT-165(500)/F30,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,COLLAR,,2
,SGB HOUSING ST-05,,1
,SGB COVER  ST-05,,1
,SGB HOUSING MT-02,,1
,SGB COVER MT-02,,1
,SPUR GEAR ST-05,,1
,SPUR GEAR MT-02,,1
,PINION SHAFT ST-05,,1
,PINION SHAFT MT-02,,1
,HANDWHEEL,,1
,BUSH,FOR 5 & 7,1
,BUSH,FOR 7 & 13,1
,BUSH,FOR 8  & 13,1
,BUSH,FOR 9 & 13,1
,BUSH,FOR 9 & 14,1
,BUSH,FOR 10 & 14,1
,TORQUE FUSE,,2
,BEARING,,2
,NEEDLE ROLLER CAGE,,2
,THRUST RACES,,4
,CIRCLIP,,2
,CIRCLIP,,2
,CIRCLIP,,3
,HARD WASHER,FOR 1 & 2,10
,HARD WASHER,FOR 7 & 8,5
,HARD WASHER,FOR 1 & 7,4
,HARD WASHER,FOR 9 & 10,2
,SOC.HD.GRUB SCREW,,2
,ALLEN BOLT,FOR 8 & 9,3
,ALLEN BOLT,FOR 7 & 8,3
,ALLEN BOLT,FOR 9 & 10,3
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 14 & 15,1
,WASHER,FOR 38,1
,PARALLEL KEY,FOR 5 & 11,1
,PARALLEL KEY,FOR 12 & 13,1
,PARALLEL KEY,FOR 14 & 15,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 15,1
SLT-200(720)/F30,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,2
,SPACER,,1
,SGB HOUSING DC-09,,1
,SGB COVER  DC-09,,1
,SGB HOUSING MT-02,,1
,SGB COVER  MT-02,,1
,SPUR GEAR -I-DC-09,,1
,SPUR GEAR -II-DC-09,,1
,SPUR GEAR MT-02,,1
,PINION SHAFT-I-DC-09,,1
,PINION SHAFT-II-DC-09,,1
,PINION SHAFT MT-02,,1
,PINION SHAFT MT-02(EO),,1
,HANDWHEEL,FOR 5 & 8,1
,BUSH,FOR 8 & 16,1
,BUSH,FOR 9 & 16,1
,BUSH,FOR 9 & 15,1
,BUSH,FOR 10 & 15,1
,BUSH,FOR 10 & 17,1
,BUSH,FOR 11 & 17,1
,BUSH,,2
,TORQUE FUSE,,2
,BEARING,,1
,BEARING,,2
,NEEDLE ROLLER CAGE,,1
,NEEDLE ROLLER CAGE,,3
,THRUST RACES,,1
,THRUST RACES,,2
,CIRCLIP,,1
,CIRCLIP,,3
,CIRCLIP,FOR 1 & 2,10
,HARD WASHER,FOR 8 & 9,8
,HARD WASHER,FOR 10 & 11,2
,HARD WASHER,,2
,SOC.HD.GRUB SCREW,,2
,EYE BOLT,FOR 1 & 8,4
,ALLEN BOLT,FOR 9 & 10,3
,ALLEN BOLT,FOR 10 & 11,3
,ALLEN BOLT,FOR 8 & 9,2
,DOWEL PIN,,2
,STOPPER STUD WITH NUT,FOR 17 & 19,1
,HARD WASHER,FOR 47,1
,WASHER,FOR 5 & 13,1
,PARALLEL KEY,FOR 12 & 16,1
,PARALLEL KEY,FOR 14 & 15,1
,PARALLEL KEY,FOR 17 & 19,1
,PARALLEL KEY,FOR 3,1
,INDICATOR PLATE,FOR 19,1
,INDICATOR PLATE,,1
SLT-250(900)/F35,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,COLLAR,,2
,SPACER,,2
,SGB HOUSING DC-09,,1
,SGB COVER  DC-09,,1
,SGB HOUSING MT-02,,1
,SGB COVER  MT-02,,1
,SPUR GEAR -I-DC-09,,1
,SPUR GEAR -II-DC-09,,1
,SPUR GEAR MT-02,,1
,PINION SHAFT-I-DC-09,,1
,PINION SHAFT-II-DC-09,,1
,PINION SHAFT MT-02,,1
,PINION SHAFT MT-02(EO),,1
,HANDWHEEL,,1
,BUSH,FOR 5 & 8,1
,BUSH,FOR 8 & 16,1
,BUSH,FOR 9 & 16,1
,BUSH,FOR 9 & 15,1
,BUSH,FOR 10 & 15,1
,BUSH,FOR 10 & 17,1
,BUSH,FOR 11 & 17,2
,TORQUE FUSE,,2
,BEARING,,2
,BEARING,,1
,NEEDLE ROLLER CAGE,,2
,NEEDLE ROLLER CAGE,,1
,THRUST RACES,,3
,THRUST RACES,,1
,CIRCLIP,,2
,CIRCLIP,,1
,CIRCLIP,,3
,HARD WASHER,FOR 1 & 2,10
,HARD WASHER,FOR 8 & 9,8
,HARD WASHER,FOR 10 & 11,2
,SOC.HD.GRUB SCREW,,2
,EYE BOLT,,2
,ALLEN BOLT,FOR 1 & 8,4
,ALLEN BOLT,FOR 9 & 10,3
,ALLEN BOLT,FOR 10 & 11,3
,DOWEL PIN,FOR 8 & 9,2
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 17 & 19,1
,WASHER,FOR 47,1
,PARALLEL KEY,FOR 5 & 13,1
,PARALLEL KEY,FOR 12 & 16,1
,PARALLEL KEY,FOR 14 & 15,1
,PARALLEL KEY,FOR 17 & 19,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 19,1
SLT-350(1215)/F35,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,COLLAR,,2
,SGB HOUSING DT-09,,1
,SGB COVER DT-09,,1
,SGB HOUSING SM-03,,1
,SGB COVER  SM-03,,1
,SPUR GEAR -I-DT-09,,1
,SPUR GEAR -II-DT-09,,1
,SPUR GEAR SM-03,,1
,PINION SHAFT-I-DT-09,,1
,PINION SHAFT-II-DT-09,,1
